HS 2012 Product Code,HS 2012 Product Description,HS 1996 Product Code,HS 1996 Product Description
010121,Pure-bred breeding animals,010111,Horses :-- Pure-bred breeding animals
010129,Other,010119,Horses :-- Other
010130,Asses,010120,"Asses, mules and hinnies"
010190,Other,010120,"Asses, mules and hinnies"
010221,Pure-bred breeding animals,010210,Pure-bred breeding animals
010229,Other,010290,Other
010231,Pure-bred breeding animals,010210,Pure-bred breeding animals
010239,Other,010290,Other
010290,Other,010290,Other
010310,Pure-bred breeding animals,010310,Pure-bred breeding animals
010391,Weighing less than 50 kg,010391,Other :-- Weighing less than 50 kg
010392,Weighing 50 kg or more,010392,Other :-- Weighing 50 kg or more
010410,Sheep,010410,Sheep
010420,Goats,010420,Goats
010511,Fowls of the species Gallus domesticus,010511,Weighing not more than 185 g :-- Fowls of the species Gallus domesticus
010512,Turkeys,010512,Weighing not more than 185 g :-- Turkeys
010513,Ducks,010519,Weighing not more than 185 g :-- Other
010514,Geese,010519,Weighing not more than 185 g :-- Other
010515,Guinea fowls,010519,Weighing not more than 185 g :-- Other
010594,Fowls of the species Gallus domesticus,010592,"Other :-- Fowls of the species Gallus domesticus, weighing not more than 2,000 g"
010599,Other,010599,Other
010611,Primates,010600,Other live animals.
010612,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",010600,Other live animals.
010613,Camels and other camelids (Camelidae),010600,Other live animals.
010614,Rabbits and hares,010600,Other live animals.
010619,Other,010600,Other live animals.
010620,Reptiles (including snakes and turtles),010600,Other live animals.
010631,Birds of prey,010600,Other live animals.
010632,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",010600,Other live animals.
010633,Ostriches; emus (Dromaius novaehollandiae),010600,Other live animals.
010639,Other,010600,Other live animals.
010641,Bees,010600,Other live animals.
010649,Other,010600,Other live animals.
010690,Other,010600,Other live animals.
020110,Carcasses and half-carcasses,020110,Carcasses and half-carcasses
020120,Other cuts with bone in,020120,Other cuts with bone in
020130,Boneless,020130,Boneless
020210,Carcasses and half-carcasses,020210,Carcasses and half-carcasses
020220,Other cuts with bone in,020220,Other cuts with bone in
020230,Boneless,020230,Boneless
020311,Carcasses and half-carcasses,020311,Fresh or chilled :-- Carcasses and half-carcasses
020312,"Hams, shoulders and cuts thereof, with bone in",020312,"Fresh or chilled :-- Hams, shoulders and cuts thereof, with bone in"
020319,Other,020319,Fresh or chilled :-- Other
020321,Carcasses and half-carcasses,020321,Frozen :-- Carcasses and half-carcasses
020322,"Hams, shoulders and cuts thereof, with bone in",020322,"Frozen :-- Hams, shoulders and cuts thereof, with bone in"
020329,Other,020329,Frozen :-- Other
